id,iso,label,longitude,latitude,
107,JEY,Jersey,-2.13218133,49.22079922,
108,JOR,Jordan,36.95728885,31.38706488,
109,JPN,Japan,137.4693423,36.76738833,
110,KAZ,Kazakhstan,66.37591935,47.6414652,
111,KEN,Kenya,37.95309411,0.689918232,
112,KGZ,Kyrgyz Republic,74.17532903,41.35698905,
113,KHM,Cambodia,105.0397308,12.69918687,
114,KIR,Kiribati,-157.3902419,1.867667375,
115,KNA,St. Kitts and Nevis,-62.74560386,17.3147363,
116,KOR,"Korea, Rep.",127.7622455,36.40238671,
117,KWT,Kuwait,47.56311109,29.28136097,
118,LAO,Lao PDR,103.763759,18.11728274,
119,LBN,Lebanon,35.89651946,33.91160171,
120,LBR,Liberia,-9.258988935,6.520129794,
121,LBY,Libya,17.91133392,27.20291577,
122,LCA,St. Lucia,-60.96895109,13.89574919,
123,LIE,Liechtenstein,9.558292717,47.13136995,
124,LKA,Sri Lanka,80.6693117,7.696630939,
125,LSO,Lesotho,28.24475318,-29.60168117,
126,LTU,Lithuania,23.94602161,55.29437393,
127,LUX,Luxembourg,6.103230338,49.77523455,
128,LVA,Latvia,24.69367133,56.81385305,
129,MAC,"Macao SAR, China",113.5132,22.1261,
130,MAR,Morocco,-8.817212587,28.68759813,
131,MCO,Monaco,7.423470439,43.7391112,
132,MDA,Moldova,28.39111187,47.07256746,
133,MDG,Madagascar,46.68493467,-19.04163612,
134,MDV,Maldives,73.10076245,-0.606557717,
135,MEX,Mexico,-101.5539973,23.87436068,
136,MHL,Marshall Islands,168.7201603,7.307929901,
137,MKD,North Macedonia,21.70998924,41.5940289,
138,MLI,Mali,-4.346399842,17.16814621,
139,MLT,Malta,14.44192244,35.89052265,
140,MMR,Myanmar,97.08892285,19.90122793,
141,MNE,Montenegro,19.29505087,42.73694835,
142,MNG,Mongolia,103.398736,47.08644455,
143,MNP,Northern Mariana Islands,145.7411974,15.17806352,
144,MOZ,Mozambique,35.20857703,-17.52523031,
145,MRT,Mauritania,-10.49507905,20.46673121,
146,MSR,Montserrat,-62.18946067,16.73606735,
147,MTQ,Martinique,-60.99420698,14.65400526,
148,MUS,Mauritius,57.56415671,-20.28142317,
149,MWI,Malawi,34.23441182,-13.12898646,
150,MYS,Malaysia,114.633303,3.671660856,
151,MYT,Mayotte,45.15372118,-12.80854573,
152,NAM,Namibia,18.16451346,-21.90858163,
153,NCL,New Caledonia,165.5076704,-21.33003373,
154,NER,Niger,8.86863247,17.08105392,
155,NFK,Norfolk Island,167.9524612,-29.03271257,
156,NGA,Nigeria,8.147714845,9.61029352,
157,NIC,Nicaragua,-85.01608833,12.89356663,
158,NIU,Niue,-169.8587719,-19.05766093,
159,NLD,Netherlands,5.554136426,52.13405413,
160,NOR,Norway,16.67025927,64.97775883,
161,NPL,Nepal,84.13388983,28.3009207,
162,NRU,Nauru,166.9358396,-0.527550806,
163,NZL,New Zealand,170.6903554,-43.82765433,
164,OMN,Oman,55.84108812,20.72428332,
165,PAK,Pakistan,69.08835091,30.11618837,
166,PAN,Panama,-80.14428761,8.43953675,
167,PCN,Pitcairn,-128.330907,-24.37708752,
168,PER,Peru,-74.11416197,-8.522717984,
169,PHL,Philippines,121.8220894,15.58654225,
170,PLW,Palau,134.5796509,7.534775853,
171,PNG,Papua New Guinea,144.8348943,-7.156912819,
172,POL,Poland,19.43573279,52.06848056,
173,PRI,Puerto Rico,-66.4942534,18.21622409,
174,PRK,Democratic People's Republic of Korea,126.7316672,39.66150527,
175,PRT,Portugal,-7.933662184,39.67529215,
176,PRY,Paraguay,-58.38906357,-23.42190559,
177,PSE,West Bank and Gaza,35.24251184,31.93081874,
178,PYF,French Polynesia,-149.4298691,-17.65130396,
179,QAT,Qatar,51.19794919,25.31852849,
180,REU,RŽunion,55.51906434,-21.12379392,
181,ROU,Romania,25.0941582,45.82454894,
182,RUS,Russian Federation,98.67049907,59.03943421,
183,RWA,Rwanda,29.91943968,-2.01468746,
184,SAU,Saudi Arabia,44.60095818,24.13603814,
185,SDN,Sudan,29.95145828,15.67060231,
186,SEN,Senegal,-14.61087537,14.22886149,
187,SGP,Singapore,103.8102576,1.352825189,
188,SGS,South Georgia and the South Sandwich Islands,-36.68087997,-54.3428778,
189,SLB,Solomon Islands,160.164758,-9.613104735,
190,SLE,Sierra Leone,-11.78656696,8.561330385,
191,SLV,El Salvador,-88.85911489,13.75804152,
192,SMR,San Marino,12.4631188,43.93759988,
193,SOM,Somalia,45.40037867,6.524534573,
194,SRB,Serbia,20.85677444,44.0267987,
195,SSD,South Sudan,30.38518569,7.657782042,
196,STP,Sao Tome and Principe,6.606158797,0.227447043,
197,SUR,Suriname,-55.85551431,4.098723596,
198,SVK,Slovak Republic,19.58101536,48.69808391,
199,SVN,Slovenia,14.8906369,46.1375923,
200,SWE,Sweden,17.06243199,62.73420986,
201,SWZ,Eswatini,31.51068575,-26.56254094,
202,SXM,Sint Maarten (Dutch part),-63.06883136,18.03942608,
203,SYC,Seychelles,55.4725079,-4.660002319,
204,SYR,Syrian Arab Republic,38.51173231,35.09751106,
205,TCA,Turks and Caicos Islands,-71.77705977,21.78748279,
206,TCD,Chad,18.4271139,15.28349355,
207,TGO,Togo,0.899085757,8.660743038,
208,THA,Thailand,101.0867512,13.66222785,
209,TJK,Tajikistan,70.94215281,38.56933138,
210,TKL,Tokelau,-171.8316716,-9.137588244,
211,TKM,Turkmenistan,58.45773576,39.06069118,
212,TLS,Timor-Leste,125.9502405,-8.809894631,
213,TON,Tonga,-175.2041588,-21.15927213,
214,TTO,Trinidad and Tobago,-61.3723658,10.41551564,
215,TUN,Tunisia,9.655875517,34.0863618,
216,TUR,Turkey,35.56886764,38.93207363,
217,TUV,Tuvalu,179.1173333,-8.513933181,
218,TWN,Taiwan,120.9933538,23.78215406,
219,TZA,Tanzania,34.81832206,-6.35579444,
220,UGA,Uganda,32.34371768,1.282172922,
221,UKR,Ukraine,31.27377208,48.65753252,
222,URY,Uruguay,-56.01919523,-32.78195044,
223,USA,United States,-96.33161661,38.82080892,
224,UZB,Uzbekistan,63.85482976,41.48790652,
225,VAT,Holy See,12.45267305,41.90356178,
226,VCT,St. Vincent and the Grenadines,-61.19376635,13.25480812,
227,VEN,"Venezuela, RB",-66.36492136,7.148324761,
228,VGB,British Virgin Islands,-64.55580886,18.49770383,
229,VIR,Virgin Islands (U.S.),-64.76155341,17.73800971,
230,VNM,Vietnam,105.9133883,16.51734717,
231,VUT,Vanuatu,166.8491274,-15.18913212,
232,WLF,Wallis and Futuna Islands,-177.1586872,-13.83297267,
233,WSM,Samoa,-172.4410766,-13.63425295,
234,XKX,Kosovo (SCR 1244),20.9154,42.5303,
235,YEM,"Yemen, Rep.",47.46815793,16.00139262,
236,ZAF,South Africa,24.75252746,-28.55361931,
237,ZMB,Zambia,27.75521363,-13.16283295,
238,ZWE,Zimbabwe,29.71782964,-18.92700122,
