var,geo,group,t,n
regin,ARG,Asia,2023 Jan,53297
regin,ARG,Europe,2023 Jan,111618
regin,ARG,Africa,2023 Jan,4224
regin,ARG,Oceania,2023 Jan,5987
regin,ARG,Other Americas,2023 Jan,1205198
regin,ARG,Brazil,2023 Jan,462496
regin,ARG,Canada,2023 Jan,11972
regin,ARG,Colombia,2023 Jan,20415
regin,ARG,Cuba,2023 Jan,454
regin,ARG,Dominican Republic,2023 Jan,618
regin,ARG,Ecuador,2023 Jan,7140
regin,ARG,United States,2023 Jan,80026
regin,ARG,Guatemala,2023 Jan,627
regin,ARG,Haiti,2023 Jan,157
regin,ARG,Honduras,2023 Jan,1769
regin,ARG,Mexico,2023 Jan,8828
regin,ARG,Nicaragua,2023 Jan,414
regin,ARG,Unknown,2023 Jan,78
regin,ARG,Panama,2023 Jan,1108
regin,ARG,El Salvador,2023 Jan,869
regin,ARG,Bolivarian Republic of Venezuela,2023 Jan,15832
regin,ARG,Asia,2023 Feb,50757
regin,ARG,Europe,2023 Feb,108880
regin,ARG,Africa,2023 Feb,3507
regin,ARG,Oceania,2023 Feb,5975
regin,ARG,Other Americas,2023 Feb,1240761
regin,ARG,Brazil,2023 Feb,385637
regin,ARG,Canada,2023 Feb,12493
regin,ARG,Colombia,2023 Feb,14819
regin,ARG,Cuba,2023 Feb,341
regin,ARG,Dominican Republic,2023 Feb,565
regin,ARG,Ecuador,2023 Feb,7195
regin,ARG,United States,2023 Feb,75554
regin,ARG,Guatemala,2023 Feb,502
regin,ARG,Haiti,2023 Feb,156
regin,ARG,Honduras,2023 Feb,1542
regin,ARG,Mexico,2023 Feb,7350
regin,ARG,Nicaragua,2023 Feb,415
regin,ARG,Unknown,2023 Feb,65
regin,ARG,Panama,2023 Feb,1053
regin,ARG,El Salvador,2023 Feb,731
regin,ARG,Bolivarian Republic of Venezuela,2023 Feb,14751
regin,ARG,Asia,2023 Mar,39901
regin,ARG,Europe,2023 Mar,113606
regin,ARG,Africa,2023 Mar,2799
regin,ARG,Unknown,2023 Mar,78
regin,ARG,Oceania,2023 Mar,4729
regin,ARG,Other Americas,2023 Mar,1174741
regin,ARG,Brazil,2023 Mar,403118
regin,ARG,Canada,2023 Mar,11588
regin,ARG,Colombia,2023 Mar,17736
regin,ARG,Cuba,2023 Mar,349
regin,ARG,Dominican Republic,2023 Mar,747
regin,ARG,Ecuador,2023 Mar,9573
regin,ARG,United States,2023 Mar,72117
regin,ARG,Guatemala,2023 Mar,972
regin,ARG,Haiti,2023 Mar,192
regin,ARG,Honduras,2023 Mar,1318
regin,ARG,Mexico,2023 Mar,10497
regin,ARG,Nicaragua,2023 Mar,410
regin,ARG,Panama,2023 Mar,1139
regin,ARG,El Salvador,2023 Mar,836
regin,ARG,Bolivarian Republic of Venezuela,2023 Mar,15182
regin,ARG,Asia,2023 Apr,16231
regin,ARG,Europe,2023 Apr,67082
regin,ARG,Africa,2023 Apr,740
regin,ARG,Oceania,2023 Apr,2946
regin,ARG,Other Americas,2023 Apr,1275451
regin,ARG,Brazil,2023 Apr,429575
regin,ARG,Canada,2023 Apr,3897
regin,ARG,Colombia,2023 Apr,17852
regin,ARG,Cuba,2023 Apr,384
regin,ARG,Dominican Republic,2023 Apr,492
regin,ARG,Ecuador,2023 Apr,7291
regin,ARG,United States,2023 Apr,31914
regin,ARG,Guatemala,2023 Apr,727
regin,ARG,Haiti,2023 Apr,196
regin,ARG,Honduras,2023 Apr,385
regin,ARG,Mexico,2023 Apr,9237
regin,ARG,Nicaragua,2023 Apr,166
regin,ARG,Unknown,2023 Apr,97
regin,ARG,Panama,2023 Apr,1070
regin,ARG,El Salvador,2023 Apr,607
regin,ARG,Bolivarian Republic of Venezuela,2023 Apr,15934
regin,ARG,Asia,2023 May,14088
regin,ARG,Europe,2023 May,43986
regin,ARG,Africa,2023 May,731
regin,ARG,Unknown,2023 May,70
regin,ARG,Oceania,2023 May,2074
regin,ARG,Other Americas,2023 May,1207130
regin,ARG,Brazil,2023 May,409493
regin,ARG,Canada,2023 May,2592
regin,ARG,Colombia,2023 May,13846
regin,ARG,Cuba,2023 May,373
regin,ARG,Dominican Republic,2023 May,553
regin,ARG,Ecuador,2023 May,5946
regin,ARG,United States,2023 May,24581
regin,ARG,Guatemala,2023 May,1043
regin,ARG,Haiti,2023 May,159
regin,ARG,Honduras,2023 May,364
regin,ARG,Mexico,2023 May,7060
regin,ARG,Nicaragua,2023 May,136
regin,ARG,Panama,2023 May,1114
regin,ARG,El Salvador,2023 May,503
regin,ARG,Bolivarian Republic of Venezuela,2023 May,13627
regin,ARG,Asia,2023 Jun,12630
regin,ARG,Europe,2023 Jun,33947
regin,ARG,Africa,2023 Jun,432
regin,ARG,Unknown,2023 Jun,68
regin,ARG,Oceania,2023 Jun,1838
regin,ARG,Other Americas,2023 Jun,1139603
regin,ARG,Brazil,2023 Jun,463988
regin,ARG,Canada,2023 Jun,1761
regin,ARG,Colombia,2023 Jun,15807
regin,ARG,Cuba,2023 Jun,341
regin,ARG,Dominican Republic,2023 Jun,325
regin,ARG,Ecuador,2023 Jun,5331
regin,ARG,United States,2023 Jun,27912
regin,ARG,Guatemala,2023 Jun,857
regin,ARG,Haiti,2023 Jun,141
regin,ARG,Honduras,2023 Jun,356
regin,ARG,Mexico,2023 Jun,6387
regin,ARG,Nicaragua,2023 Jun,138
regin,ARG,Panama,2023 Jun,1035
regin,ARG,El Salvador,2023 Jun,371
regin,ARG,Bolivarian Republic of Venezuela,2023 Jun,13050
regin,ARG,Asia,2023 Jul,13949
regin,ARG,Europe,2023 Jul,47928
regin,ARG,Africa,2023 Jul,608
regin,ARG,Unknown,2023 Jul,79
regin,ARG,Oceania,2023 Jul,1650
regin,ARG,Other Americas,2023 Jul,1299681
regin,ARG,Brazil,2023 Jul,599004
regin,ARG,Canada,2023 Jul,2392
regin,ARG,Colombia,2023 Jul,14182
regin,ARG,Cuba,2023 Jul,263
regin,ARG,Dominican Republic,2023 Jul,350
regin,ARG,Ecuador,2023 Jul,7619
regin,ARG,United States,2023 Jul,29300
regin,ARG,Guatemala,2023 Jul,570
regin,ARG,Haiti,2023 Jul,166
regin,ARG,Honduras,2023 Jul,326
regin,ARG,Mexico,2023 Jul,8816
regin,ARG,Nicaragua,2023 Jul,182
regin,ARG,Panama,2023 Jul,1250
regin,ARG,El Salvador,2023 Jul,482
regin,ARG,Bolivarian Republic of Venezuela,2023 Jul,13173
regin,ARG,Asia,2023 Aug,15605
regin,ARG,Europe,2023 Aug,57940
regin,ARG,Africa,2023 Aug,498
regin,ARG,Oceania,2023 Aug,1626
regin,ARG,Other Americas,2023 Aug,1222161
regin,ARG,Brazil,2023 Aug,533633
regin,ARG,Canada,2023 Aug,2460
regin,ARG,Colombia,2023 Aug,15258
regin,ARG,Cuba,2023 Aug,341
regin,ARG,Dominican Republic,2023 Aug,434
regin,ARG,Ecuador,2023 Aug,8908
regin,ARG,United States,2023 Aug,25922
regin,ARG,Guatemala,2023 Aug,700
regin,ARG,Haiti,2023 Aug,119
regin,ARG,Honduras,2023 Aug,348
regin,ARG,Mexico,2023 Aug,9165
regin,ARG,Nicaragua,2023 Aug,127
regin,ARG,Unknown,2023 Aug,67
regin,ARG,Panama,2023 Aug,1200
regin,ARG,El Salvador,2023 Aug,763
regin,ARG,Bolivarian Republic of Venezuela,2023 Aug,16757
regin,ARG,Asia,2023 Sep,14693
regin,ARG,Europe,2023 Sep,51011
regin,ARG,Africa,2023 Sep,581
regin,ARG,Unknown,2023 Sep,65
regin,ARG,Oceania,2023 Sep,2720
regin,ARG,Other Americas,2023 Sep,1275510
regin,ARG,Brazil,2023 Sep,564053
regin,ARG,Canada,2023 Sep,2413
regin,ARG,Colombia,2023 Sep,15147
regin,ARG,Cuba,2023 Sep,414
regin,ARG,Dominican Republic,2023 Sep,617
regin,ARG,Ecuador,2023 Sep,9097
regin,ARG,United States,2023 Sep,25962
regin,ARG,Guatemala,2023 Sep,953
regin,ARG,Haiti,2023 Sep,104
regin,ARG,Honduras,2023 Sep,407
regin,ARG,Mexico,2023 Sep,9398
regin,ARG,Nicaragua,2023 Sep,168
regin,ARG,Panama,2023 Sep,1363
regin,ARG,El Salvador,2023 Sep,565
regin,ARG,Bolivarian Republic of Venezuela,2023 Sep,16778
regin,ARG,Asia,2023 Oct,16434
regin,ARG,Europe,2023 Oct,78546
regin,ARG,Africa,2023 Oct,750
regin,ARG,Oceania,2023 Oct,3694
regin,ARG,Other Americas,2023 Oct,1352121
regin,ARG,Brazil,2023 Oct,552917
regin,ARG,Canada,2023 Oct,3828
regin,ARG,Colombia,2023 Oct,20163
regin,ARG,Cuba,2023 Oct,409
regin,ARG,Dominican Republic,2023 Oct,577
regin,ARG,Ecuador,2023 Oct,11413
regin,ARG,United States,2023 Oct,34966
regin,ARG,Guatemala,2023 Oct,1024
regin,ARG,Haiti,2023 Oct,168
regin,ARG,Honduras,2023 Oct,596
regin,ARG,Mexico,2023 Oct,10574
regin,ARG,Nicaragua,2023 Oct,223
regin,ARG,Unknown,2023 Oct,83
regin,ARG,Panama,2023 Oct,1591
regin,ARG,El Salvador,2023 Oct,616
regin,ARG,Bolivarian Republic of Venezuela,2023 Oct,17639
regin,ARG,Asia,2023 Nov,24354
regin,ARG,Europe,2023 Nov,127968
regin,ARG,Africa,2023 Nov,1067
regin,ARG,Unknown,2023 Nov,83
regin,ARG,Oceania,2023 Nov,5244
regin,ARG,Other Americas,2023 Nov,1250518
regin,ARG,Brazil,2023 Nov,542661
regin,ARG,Canada,2023 Nov,8334
regin,ARG,Colombia,2023 Nov,20386
regin,ARG,Cuba,2023 Nov,386
regin,ARG,Dominican Republic,2023 Nov,506
regin,ARG,Ecuador,2023 Nov,10120
regin,ARG,United States,2023 Nov,58685
regin,ARG,Guatemala,2023 Nov,1517
regin,ARG,Haiti,2023 Nov,178
regin,ARG,Honduras,2023 Nov,603
regin,ARG,Mexico,2023 Nov,12530
regin,ARG,Nicaragua,2023 Nov,275
regin,ARG,Panama,2023 Nov,1802
regin,ARG,El Salvador,2023 Nov,875
regin,ARG,Bolivarian Republic of Venezuela,2023 Nov,16698
regin,ARG,Asia,2023 Dec,40816
regin,ARG,Europe,2023 Dec,126618
regin,ARG,Africa,2023 Dec,2598
regin,ARG,Oceania,2023 Dec,6274
regin,ARG,Other Americas,2023 Dec,1208136
regin,ARG,Brazil,2023 Dec,615632
regin,ARG,Canada,2023 Dec,10356
regin,ARG,Colombia,2023 Dec,24243
regin,ARG,Cuba,2023 Dec,446
regin,ARG,Dominican Republic,2023 Dec,696
regin,ARG,Ecuador,2023 Dec,6034
regin,ARG,United States,2023 Dec,82672
regin,ARG,Guatemala,2023 Dec,1488
regin,ARG,Haiti,2023 Dec,229
regin,ARG,Honduras,2023 Dec,1140
regin,ARG,Mexico,2023 Dec,16732
regin,ARG,Nicaragua,2023 Dec,243
regin,ARG,Unknown,2023 Dec,56
regin,ARG,Panama,2023 Dec,1465
regin,ARG,El Salvador,2023 Dec,837
regin,ARG,Bolivarian Republic of Venezuela,2023 Dec,20716
regin,COL,Asia,2023 Jan,8293
regin,COL,Europe,2023 Jan,55369
regin,COL,Africa,2023 Jan,496
regin,COL,Other Americas,2023 Jan,52347
regin,COL,Argentina,2023 Jan,11668
regin,COL,Oceania,2023 Jan,1729
regin,COL,Brazil,2023 Jan,12633
regin,COL,Canada,2023 Jan,9859
regin,COL,Cuba,2023 Jan,422
regin,COL,Unknown,2023 Jan,153
regin,COL,Ecuador,2023 Jan,18572
regin,COL,El Salvador,2023 Jan,1919
regin,COL,United States,2023 Jan,75757
regin,COL,Guatemala,2023 Jan,2176
regin,COL,Haiti,2023 Jan,39
regin,COL,Honduras,2023 Jan,1436
regin,COL,Mexico,2023 Jan,19821
regin,COL,Nicaragua,2023 Jan,320
regin,COL,Panama,2023 Jan,18988
regin,COL,Dominican Republic,2023 Jan,8032
regin,COL,Bolivarian Republic of Venezuela,2023 Jan,46371
regin,COL,Asia,2023 Feb,8583
regin,COL,Europe,2023 Feb,55858
regin,COL,Africa,2023 Feb,517
regin,COL,Other Americas,2023 Feb,54657
regin,COL,Argentina,2023 Feb,10414
regin,COL,Oceania,2023 Feb,1328
regin,COL,Brazil,2023 Feb,11474
regin,COL,Canada,2023 Feb,10593
regin,COL,Cuba,2023 Feb,486
regin,COL,Unknown,2023 Feb,122
regin,COL,Ecuador,2023 Feb,21412
regin,COL,El Salvador,2023 Feb,2030
regin,COL,United States,2023 Feb,80887
regin,COL,Guatemala,2023 Feb,2253
regin,COL,Haiti,2023 Feb,31
regin,COL,Honduras,2023 Feb,1300
regin,COL,Mexico,2023 Feb,21349
regin,COL,Nicaragua,2023 Feb,315
regin,COL,Panama,2023 Feb,19611
regin,COL,Dominican Republic,2023 Feb,8062
regin,COL,Bolivarian Republic of Venezuela,2023 Feb,39594
regin,COL,Asia,2023 Mar,10536
regin,COL,Europe,2023 Mar,54214
regin,COL,Africa,2023 Mar,501
regin,COL,Other Americas,2023 Mar,46425
regin,COL,Argentina,2023 Mar,10186
regin,COL,Oceania,2023 Mar,1504
regin,COL,Brazil,2023 Mar,12912
regin,COL,Canada,2023 Mar,10198
regin,COL,Cuba,2023 Mar,488
regin,COL,Unknown,2023 Mar,216
regin,COL,Ecuador,2023 Mar,26421
regin,COL,El Salvador,2023 Mar,2857
regin,COL,United States,2023 Mar,94913
regin,COL,Guatemala,2023 Mar,3087
regin,COL,Haiti,2023 Mar,61
regin,COL,Honduras,2023 Mar,1981
regin,COL,Mexico,2023 Mar,24078
regin,COL,Nicaragua,2023 Mar,474
regin,COL,Panama,2023 Mar,13456
regin,COL,Dominican Republic,2023 Mar,8026
regin,COL,Bolivarian Republic of Venezuela,2023 Mar,39615
regin,COL,Asia,2023 Apr,10463
regin,COL,Europe,2023 Apr,48087
regin,COL,Africa,2023 Apr,442
regin,COL,Other Americas,2023 Apr,40172
regin,COL,Argentina,2023 Apr,8504
regin,COL,Oceania,2023 Apr,1361
regin,COL,Brazil,2023 Apr,13990
regin,COL,Canada,2023 Apr,7792
regin,COL,Cuba,2023 Apr,468
regin,COL,Unknown,2023 Apr,154
regin,COL,Ecuador,2023 Apr,27167
regin,COL,El Salvador,2023 Apr,2791
regin,COL,United States,2023 Apr,80012
regin,COL,Guatemala,2023 Apr,3120
regin,COL,Haiti,2023 Apr,50
regin,COL,Honduras,2023 Apr,2659
regin,COL,Mexico,2023 Apr,25206
regin,COL,Nicaragua,2023 Apr,407
regin,COL,Panama,2023 Apr,14720
regin,COL,Dominican Republic,2023 Apr,11124
regin,COL,Bolivarian Republic of Venezuela,2023 Apr,34769
regin,COL,Asia,2023 May,10442
regin,COL,Europe,2023 May,40711
regin,COL,Africa,2023 May,442
regin,COL,Other Americas,2023 May,39567
regin,COL,Argentina,2023 May,8922
regin,COL,Oceania,2023 May,1408
regin,COL,Brazil,2023 May,13521
regin,COL,Canada,2023 May,6172
regin,COL,Cuba,2023 May,483
regin,COL,Unknown,2023 May,188
regin,COL,Ecuador,2023 May,23211
regin,COL,El Salvador,2023 May,2551
regin,COL,United States,2023 May,88776
regin,COL,Guatemala,2023 May,3462
regin,COL,Haiti,2023 May,56
regin,COL,Honduras,2023 May,2390
regin,COL,Mexico,2023 May,23220
regin,COL,Nicaragua,2023 May,346
regin,COL,Panama,2023 May,10471
regin,COL,Dominican Republic,2023 May,8120
regin,COL,Bolivarian Republic of Venezuela,2023 May,33890
regin,COL,Asia,2023 Jun,17990
regin,COL,Europe,2023 Jun,44276
regin,COL,Africa,2023 Jun,547
regin,COL,Other Americas,2023 Jun,39871
regin,COL,Argentina,2023 Jun,8194
regin,COL,Oceania,2023 Jun,1507
regin,COL,Brazil,2023 Jun,12895
regin,COL,Canada,2023 Jun,5629
regin,COL,Cuba,2023 Jun,674
regin,COL,Unknown,2023 Jun,161
regin,COL,Ecuador,2023 Jun,23425
regin,COL,El Salvador,2023 Jun,2146
regin,COL,United States,2023 Jun,110093
regin,COL,Guatemala,2023 Jun,3630
regin,COL,Haiti,2023 Jun,55
regin,COL,Honduras,2023 Jun,2084
regin,COL,Mexico,2023 Jun,27041
regin,COL,Nicaragua,2023 Jun,326
regin,COL,Panama,2023 Jun,13780
regin,COL,Bolivarian Republic of Venezuela,2023 Jun,32833
regin,COL,Asia,2023 Jul,8873
regin,COL,Europe,2023 Jul,68932
regin,COL,Africa,2023 Jul,560
regin,COL,Other Americas,2023 Jul,51168
regin,COL,Argentina,2023 Jul,9912
regin,COL,Oceania,2023 Jul,1627
regin,COL,Brazil,2023 Jul,14635
regin,COL,Canada,2023 Jul,7427
regin,COL,Cuba,2023 Jul,588
regin,COL,Unknown,2023 Jul,178
regin,COL,Ecuador,2023 Jul,37327
regin,COL,El Salvador,2023 Jul,3219
regin,COL,United States,2023 Jul,115338
regin,COL,Guatemala,2023 Jul,3415
regin,COL,Haiti,2023 Jul,74
regin,COL,Honduras,2023 Jul,2795
regin,COL,Mexico,2023 Jul,32545
regin,COL,Nicaragua,2023 Jul,535
regin,COL,Panama,2023 Jul,13319
regin,COL,Dominican Republic,2023 Jul,12617
regin,COL,Bolivarian Republic of Venezuela,2023 Jul,37914
regin,COL,Asia,2023 Aug,8761
regin,COL,Europe,2023 Aug,64377
regin,COL,Africa,2023 Aug,603
regin,COL,Other Americas,2023 Aug,45196
regin,COL,Argentina,2023 Aug,8547
regin,COL,Oceania,2023 Aug,1365
regin,COL,Brazil,2023 Aug,12277
regin,COL,Canada,2023 Aug,6287
regin,COL,Cuba,2023 Aug,519
regin,COL,Unknown,2023 Aug,122
regin,COL,Ecuador,2023 Aug,40000
regin,COL,El Salvador,2023 Aug,3039
regin,COL,United States,2023 Aug,100483
regin,COL,Guatemala,2023 Aug,3685
regin,COL,Haiti,2023 Aug,69
regin,COL,Honduras,2023 Aug,2582
regin,COL,Mexico,2023 Aug,32191
regin,COL,Nicaragua,2023 Aug,474
regin,COL,Panama,2023 Aug,12836
regin,COL,Dominican Republic,2023 Aug,12903
regin,COL,Bolivarian Republic of Venezuela,2023 Aug,42811
regin,COL,Asia,2023 Sep,9371
regin,COL,Europe,2023 Sep,45339
regin,COL,Africa,2023 Sep,616
regin,COL,Other Americas,2023 Sep,42688
regin,COL,Argentina,2023 Sep,7624
regin,COL,Oceania,2023 Sep,1415
regin,COL,Brazil,2023 Sep,12005
regin,COL,Canada,2023 Sep,5004
regin,COL,Cuba,2023 Sep,565
regin,COL,Unknown,2023 Sep,219
regin,COL,Ecuador,2023 Sep,29044
regin,COL,El Salvador,2023 Sep,3098
regin,COL,United States,2023 Sep,76538
regin,COL,Guatemala,2023 Sep,4257
regin,COL,Haiti,2023 Sep,57
regin,COL,Honduras,2023 Sep,2774
regin,COL,Mexico,2023 Sep,29924
regin,COL,Nicaragua,2023 Sep,444
regin,COL,Panama,2023 Sep,15732
regin,COL,Dominican Republic,2023 Sep,8826
regin,COL,Bolivarian Republic of Venezuela,2023 Sep,38954
regin,COL,Asia,2023 Oct,8456
regin,COL,Europe,2023 Oct,45316
regin,COL,Africa,2023 Oct,482
regin,COL,Other Americas,2023 Oct,42600
regin,COL,Argentina,2023 Oct,7268
regin,COL,Oceania,2023 Oct,1358
regin,COL,Brazil,2023 Oct,10735
regin,COL,Canada,2023 Oct,5725
regin,COL,Cuba,2023 Oct,581
regin,COL,Unknown,2023 Oct,190
regin,COL,Ecuador,2023 Oct,29904
regin,COL,El Salvador,2023 Oct,2919
regin,COL,United States,2023 Oct,76033
regin,COL,Guatemala,2023 Oct,4640
regin,COL,Haiti,2023 Oct,70
regin,COL,Honduras,2023 Oct,2855
regin,COL,Mexico,2023 Oct,28159
regin,COL,Nicaragua,2023 Oct,425
regin,COL,Panama,2023 Oct,12986
regin,COL,Dominican Republic,2023 Oct,9869
regin,COL,Bolivarian Republic of Venezuela,2023 Oct,36275
regin,COL,Asia,2023 Nov,7400
regin,COL,Europe,2023 Nov,47366
regin,COL,Africa,2023 Nov,523
regin,COL,Other Americas,2023 Nov,42992
regin,COL,Argentina,2023 Nov,7812
regin,COL,Oceania,2023 Nov,1401
regin,COL,Brazil,2023 Nov,11705
regin,COL,Canada,2023 Nov,6954
regin,COL,Cuba,2023 Nov,548
regin,COL,Unknown,2023 Nov,195
regin,COL,Ecuador,2023 Nov,32927
regin,COL,El Salvador,2023 Nov,3246
regin,COL,United States,2023 Nov,87400
regin,COL,Guatemala,2023 Nov,4787
regin,COL,Haiti,2023 Nov,50
regin,COL,Honduras,2023 Nov,3253
regin,COL,Mexico,2023 Nov,27688
regin,COL,Nicaragua,2023 Nov,577
regin,COL,Panama,2023 Nov,19150
regin,COL,Dominican Republic,2023 Nov,9989
regin,COL,Bolivarian Republic of Venezuela,2023 Nov,36749
regin,COL,Asia,2023 Dec,8334
regin,COL,Europe,2023 Dec,70708
regin,COL,Other Americas,2023 Dec,52038
regin,COL,Africa,2023 Dec,769
regin,COL,Argentina,2023 Dec,7782
regin,COL,Oceania,2023 Dec,2864
regin,COL,Brazil,2023 Dec,14007
regin,COL,Canada,2023 Dec,11537
regin,COL,Cuba,2023 Dec,615
regin,COL,Unknown,2023 Dec,120
regin,COL,Ecuador,2023 Dec,29693
regin,COL,El Salvador,2023 Dec,2775
regin,COL,United States,2023 Dec,112411
regin,COL,Guatemala,2023 Dec,1
regin,COL,Haiti,2023 Dec,41
regin,COL,Honduras,2023 Dec,2204
regin,COL,Mexico,2023 Dec,28002
regin,COL,Nicaragua,2023 Dec,476
regin,COL,Panama,2023 Dec,15245
regin,COL,Dominican Republic,2023 Dec,8928
regin,COL,Bolivarian Republic of Venezuela,2023 Dec,45873
regin,COL,Asia,2022 Jan,3677
regin,COL,Europe,2022 Jan,34397
regin,COL,Other Americas,2022 Jan,30520
regin,COL,Africa,2022 Jan,245
regin,COL,Argentina,2022 Jan,6276
regin,COL,Oceania,2022 Jan,505
regin,COL,Brazil,2022 Jan,5775
regin,COL,Canada,2022 Jan,4421
regin,COL,Cuba,2022 Jan,562
regin,COL,Unknown,2022 Jan,112
regin,COL,Ecuador,2022 Jan,9047
regin,COL,El Salvador,2022 Jan,1414
regin,COL,United States,2022 Jan,51096
regin,COL,Guatemala,2022 Jan,1500
regin,COL,Haiti,2022 Jan,27
regin,COL,Honduras,2022 Jan,869
regin,COL,Mexico,2022 Jan,10064
regin,COL,Nicaragua,2022 Jan,288
regin,COL,Panama,2022 Jan,8425
regin,COL,Dominican Republic,2022 Jan,4297
regin,COL,Bolivarian Republic of Venezuela,2022 Jan,48840
regin,COL,Asia,2022 Feb,4017
regin,COL,Europe,2022 Feb,36963
regin,COL,Other Americas,2022 Feb,35476
regin,COL,Africa,2022 Feb,286
regin,COL,Argentina,2022 Feb,6249
regin,COL,Oceania,2022 Feb,516
regin,COL,Brazil,2022 Feb,5756
regin,COL,Canada,2022 Feb,4862
regin,COL,Cuba,2022 Feb,519
regin,COL,Unknown,2022 Feb,58
regin,COL,Ecuador,2022 Feb,12209
regin,COL,El Salvador,2022 Feb,1503
regin,COL,United States,2022 Feb,59981
regin,COL,Guatemala,2022 Feb,1700
regin,COL,Haiti,2022 Feb,29
regin,COL,Honduras,2022 Feb,724
regin,COL,Mexico,2022 Feb,12578
regin,COL,Nicaragua,2022 Feb,209
regin,COL,Panama,2022 Feb,10570
regin,COL,Dominican Republic,2022 Feb,5072
regin,COL,Bolivarian Republic of Venezuela,2022 Feb,31176
regin,COL,Asia,2022 Mar,5935
regin,COL,Europe,2022 Mar,38892
regin,COL,Africa,2022 Mar,446
regin,COL,Other Americas,2022 Mar,34463
regin,COL,Argentina,2022 Mar,7987
regin,COL,Oceania,2022 Mar,767
regin,COL,Brazil,2022 Mar,7517
regin,COL,Canada,2022 Mar,6113
regin,COL,Cuba,2022 Mar,523
regin,COL,Unknown,2022 Mar,111
regin,COL,Ecuador,2022 Mar,16050
regin,COL,El Salvador,2022 Mar,1883
regin,COL,United States,2022 Mar,77137
regin,COL,Guatemala,2022 Mar,2162
regin,COL,Haiti,2022 Mar,48
regin,COL,Honduras,2022 Mar,950
regin,COL,Mexico,2022 Mar,16516
regin,COL,Nicaragua,2022 Mar,284
regin,COL,Panama,2022 Mar,8385
regin,COL,Dominican Republic,2022 Mar,5436
regin,COL,Bolivarian Republic of Venezuela,2022 Mar,32661
regin,COL,Asia,2022 Apr,7000
regin,COL,Europe,2022 Apr,43107
regin,COL,Africa,2022 Apr,286
regin,COL,Other Americas,2022 Apr,35648
regin,COL,Argentina,2022 Apr,7365
regin,COL,Oceania,2022 Apr,948
regin,COL,Brazil,2022 Apr,8527
regin,COL,Canada,2022 Apr,4797
regin,COL,Cuba,2022 Apr,588
regin,COL,Unknown,2022 Apr,129
regin,COL,Ecuador,2022 Apr,16939
regin,COL,El Salvador,2022 Apr,2447
regin,COL,United States,2022 Apr,71177
regin,COL,Guatemala,2022 Apr,2386
regin,COL,Haiti,2022 Apr,53
regin,COL,Honduras,2022 Apr,1302
regin,COL,Mexico,2022 Apr,20786
regin,COL,Nicaragua,2022 Apr,318
regin,COL,Panama,2022 Apr,9970
regin,COL,Dominican Republic,2022 Apr,8957
regin,COL,Bolivarian Republic of Venezuela,2022 Apr,30738
regin,COL,Asia,2022 May,6780
regin,COL,Europe,2022 May,34319
regin,COL,Other Americas,2022 May,34878
regin,COL,Africa,2022 May,370
regin,COL,Argentina,2022 May,7904
regin,COL,Oceania,2022 May,818
regin,COL,Brazil,2022 May,9097
regin,COL,Canada,2022 May,5078
regin,COL,Cuba,2022 May,584
regin,COL,Unknown,2022 May,119
regin,COL,Ecuador,2022 May,15790
regin,COL,El Salvador,2022 May,2048
regin,COL,United States,2022 May,74943
regin,COL,Guatemala,2022 May,2329
regin,COL,Haiti,2022 May,39
regin,COL,Honduras,2022 May,1107
regin,COL,Mexico,2022 May,18274
regin,COL,Nicaragua,2022 May,288
regin,COL,Panama,2022 May,8177
regin,COL,Dominican Republic,2022 May,5881
regin,COL,Bolivarian Republic of Venezuela,2022 May,30885
regin,COL,Asia,2022 Jun,5972
regin,COL,Europe,2022 Jun,36647
regin,COL,Africa,2022 Jun,321
regin,COL,Other Americas,2022 Jun,34493
regin,COL,Argentina,2022 Jun,8822
regin,COL,Oceania,2022 Jun,989
regin,COL,Brazil,2022 Jun,9157
regin,COL,Canada,2022 Jun,4609
regin,COL,Cuba,2022 Jun,699
regin,COL,Unknown,2022 Jun,106
regin,COL,Ecuador,2022 Jun,12521
regin,COL,El Salvador,2022 Jun,2075
regin,COL,United States,2022 Jun,87673
regin,COL,Guatemala,2022 Jun,2829
regin,COL,Haiti,2022 Jun,41
regin,COL,Honduras,2022 Jun,1163
regin,COL,Mexico,2022 Jun,20694
regin,COL,Nicaragua,2022 Jun,321
regin,COL,Panama,2022 Jun,10614
regin,COL,Dominican Republic,2022 Jun,6706
regin,COL,Bolivarian Republic of Venezuela,2022 Jun,30581
regin,COL,Asia,2022 Jul,7121
regin,COL,Europe,2022 Jul,57810
regin,COL,Africa,2022 Jul,718
regin,COL,Other Americas,2022 Jul,46676
regin,COL,Argentina,2022 Jul,10563
regin,COL,Oceania,2022 Jul,1242
regin,COL,Brazil,2022 Jul,9268
regin,COL,Canada,2022 Jul,6121
regin,COL,Cuba,2022 Jul,636
regin,COL,Unknown,2022 Jul,136
regin,COL,Ecuador,2022 Jul,21392
regin,COL,El Salvador,2022 Jul,2603
regin,COL,United States,2022 Jul,91398
regin,COL,Guatemala,2022 Jul,2161
regin,COL,Haiti,2022 Jul,42
regin,COL,Honduras,2022 Jul,1436
regin,COL,Mexico,2022 Jul,26126
regin,COL,Nicaragua,2022 Jul,395
regin,COL,Panama,2022 Jul,9819
regin,COL,Dominican Republic,2022 Jul,7142
regin,COL,Bolivarian Republic of Venezuela,2022 Jul,34999
